Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
53928375,Approaching (Almost) Any Machine Learning Problem,Abhishek Thakur,"Thakur, Abhishek",,"=""""","=""""",0,4.27,,Kindle Edition,,2020,,,2020/07/07,to-read,to-read (#134),to-read,,,,0,,,0,,,,,
50503795,Statistical Inference via Data Science: A ModernDive into R and the Tidyverse (Chapman & Hall/CRC The R Series),Chester Ismay,"Ismay, Chester",Albert Y. Kim,"=""""","=""""",3,4.75,Chapman and Hall/CRC,Kindle Edition,460,2019,,2020/06/29,2020/05/27,,,read,"The chapters on data wrangling and visualization were just a summary of the R4DS book by Hadley Wickham. So if you have read that book, just skip to the chapters on statistics. The authors have introduced new libraries for performing statistical inference in a tidy way. The applications were too simple though. The comparison of theory vs simulation based inference methods was good, and a few more in-depth examples could have helped. Overall, it is a book targeted at beginners and is free and open source, so I can't complain much !!",,,1,,,0,,,,,
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",5,4.42,Harvill Secker,Paperback,498,2014,2011,2020/06/19,2019/01/09,,,read,,,,1,,,0,,,,,
52871935,Mastering Spark with R: The Complete Guide to Large-Scale Analysis and Modeling,Javier Luraschi,"Luraschi, Javier","Kevin Kuo, Edgar Ruiz","=""1492046345""","=""9781492046349""",4,4.11,O'Reilly Media,ebook,296,2019,,2020/03/21,2020/01/19,,,read,"A practical book that provides a good introduction to Apache Spark and the R package that provides an interface to it, sparklyr. I found it more useful than the other big data books I've read lately.",,,1,,,0,,,,,
4099,The Pragmatic Programmer: From Journeyman to Master,Andy Hunt,"Hunt, Andy",Dave Thomas,"=""020161622X""","=""9780201616224""",4,4.32,Addison-Wesley Professional,Paperback,321,1999,1999,2020/06/10,2018/07/06,,,read,,,,1,,,0,,,,,
910789,The Elements of Computing Systems: Building a Modern Computer from First Principles,Noam Nisan,"Nisan, Noam",,"=""026214087X""","=""9780262140874""",0,4.54,MIT Press (MA),Hardcover,325,2005,2005,,2020/06/09,to-read,to-read (#133),to-read,,,,0,,,0,,,,,
27543,Artificial Intelligence: A Modern Approach,Stuart Russell,"Russell, Stuart",Peter Norvig,"=""0137903952""","=""9780137903955""",0,4.18,Prentice Hall,Hardcover,1132,2002,1994,,2020/06/07,to-read,to-read (#132),to-read,,,,0,,,0,,,,,
548914,The Little Schemer,Daniel P. Friedman,"Friedman, Daniel P.","Matthias Felleisen, Duane Bibby, Gerald J. Sussman","=""0262560992""","=""9780262560993""",0,4.28,MIT Press,Paperback,210,1995,1974,,2020/06/05,to-read,to-read (#131),to-read,,,,0,,,0,,,,,
13518697,Write Yourself a Scheme in 48 Hours,Jonathan Tang,"Tang, Jonathan",,"=""""","=""""",0,4.23,Wikibooks,ebook,138,,,,2020/06/05,to-read,to-read (#130),to-read,,,,0,,,0,,,,,
17153511,"Realm of Racket: Learn to Program, One Game at a Time!",Matthias Felleisen,"Felleisen, Matthias","Conrad Barski, David Van Horn","=""1593274912""","=""9781593274917""",0,3.71,No Starch Press,Paperback,312,2013,2013,,2020/06/02,to-read,to-read (#129),to-read,,,,0,,,0,,,,,
6905041,"Land of LISP: Learn to Program in LISP, One Game at a Time!",Conrad Barski,"Barski, Conrad",,"=""1593272006""","=""9781593272005""",0,4.15,No Starch Press,Paperback,504,2010,2010,,2020/06/02,to-read,to-read (#128),to-read,,,,0,,,0,,,,,
662149,Algorithms: A Functional Programming Approach,Fethi A. Rabhi,"Rabhi, Fethi A.",Guy Lapalme,"=""0201596040""","=""9780201596045""",0,4.24,Addison Wesley Longman,Paperback,256,1999,1999,,2020/06/02,to-read,to-read (#127),to-read,,,,0,,,0,,,,,
3226758,Real World Haskell: Code You Can Believe In,Bryan O'Sullivan,"O'Sullivan, Bryan","John Goerzen, Donald Bruce Stewart","=""0596514980""","=""9780596514983""",0,3.92,O'Reilly Media,Paperback,720,2008,2008,,2020/06/02,to-read,to-read (#126),to-read,,,,0,,,0,,,,,
594288,Purely Functional Data Structures,Chris Okasaki,"Okasaki, Chris",,"=""0521663504""","=""9780521663502""",0,4.16,Cambridge University Press,Paperback,232,1999,1996,,2020/06/02,to-read,to-read (#125),to-read,,,,0,,,0,,,,,
912217,Programming in Haskell,Graham  Hutton,"Hutton, Graham",,"=""0521692695""","=""9780521692694""",0,4.04,Cambridge University Press,Paperback,171,2007,2006,,2020/06/02,to-read,to-read (#124),to-read,,,,0,,,0,,,,,
10672848,"The Theory That Would Not Die: How Bayes' Rule Cracked the Enigma Code, Hunted Down Russian Submarines, and Emerged Triumphant from Two Centuries of Controversy",Sharon Bertsch McGrayne,"McGrayne, Sharon Bertsch",,"=""0300169698""","=""9780300169690""",3,3.74,Yale University Press,Hardcover,336,2011,2011,2020/05/29,2018/09/01,,,read,,,,1,,,0,,,,,
23512999,The Bazaar of Bad Dreams,Stephen King,"King, Stephen",,"=""1501111671""","=""9781501111679""",4,3.92,Scribner,Hardcover,495,2015,2015,2017/11/04,2017/11/04,,,read,,,,1,,,0,,,,,
28646624,"R Packages: Organize, Test, Document, and Share Your Code",Hadley Wickham,"Wickham, Hadley",,"=""1491910542""","=""9781491910542""",4,4.46,O'Reilly Media,ebook,202,2015,2015,2020/05/20,2018/08/28,,,read,,,,1,,,0,,,,,
